"Table 1: Foodborne disease outbreaks, outbreak-associated illnesses, and hospitalizations, by etiology (con_rmed orsuspected)*-Foodborne Disease Outbreak Surveillance System, United States, 2016.",,,,,,,,,,,,,,,,,,
,No. Outbreaks,,,,No. Illnesses,,,No. Hospitalizations,,,,,,,,,,
Mycotoxins,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,,,
Other,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,,,
Subtotal,-,-,-,2,2,-,-,-,-,-,-,-,4,23,26,,,
Parasitic,,,,,,,,,,,,,,,,,,
Cryptosporidium,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,,,
Trichinella,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,,,
Giardia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Cyclospora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,,
Subtotal,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,,,
Viral,,,,,,,,,,,,,,,,,,
Norovirus,-,1,-,-,-,-,-,-,-,-,-,-,1,84,145,,,
Hepatitis A virus,-,1,-,-,-,-,-,-,-,-,-,-,1,3,3,,,
Sapovirus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,,
Subtotal,-,2,-,-,-,-,-,-,-,-,-,-,2,87,149,,,
Single etiology,38,22,5,11,18,2,19,17,-,2,2,5,75,218,399,,,
Multiple etiologies con_rmed,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,,,
Total,38,22,5,11,18,2,19,17,-,2,2,5,75,220,403,,,
,,,,,,,,,,,,,,,,,,
"Appendix Table 3: Foodborne disease outbreaks by con_rmed etiology* and contributing factors-Foodborne Disease Outbreak Surveillance System, United States, 2016.    ",,,,,,,,,,,,,,,,,,
,Survival Factors,,,,,,,,,,,,,,,,,
Etiology,S1,S2,S3,S4,S5,>= 1 Factor Reported,Outbreaks with reported contributing factors,Total Outbreaks,,,,,,,,,,
Bacterial,,,,,,,,,,,,,,,,,,
Salmonella,14,6,1,3,4,23,48,132,,,,,,,,,,
Clostridium perfringens,2,8,1,-,2,10,15,18,,,,,,,,,,
"Escherichia coli, Shiga toxin-producing",2,1,-,2,4,7,12,25,,,,,,,,,,
Campylobacter,4,-,-,-,-,4,10,18,,,,,,,,,,
Bacillus cereus,1,2,-,-,1,4,5,6,,,,,,,,,,
Staphylococcus aureus enterotoxin,1,-,-,-,1,2,4,4,,,,,,,,,,
Vibrio parahaemolyticus,1,-,-,-,-,1,2,3,,,,,,,,,,
Vibrio cholerae,1,-,-,-,1,2,3,4,,,,,,,,,,
Shigella,-,-,-,-,-,-,1,2,,,,,,,,,,
Clostridium botulinum,1,-,-,-,-,1,1,1,,,,,,,,,,
Listeria monocytogenes,-,-,-,-,-,-,-,2,,,,,,,,,,
"Escherichia coli, Enteroinvasive",-,-,-,-,-,-,-,-,,,,,,,,,,
Staphylococcus spp,-,-,-,-,-,-,1,1,,,,,,,,,,
"Escherichia coli, Enteroaggregative",-,-,-,-,-,-,-,1,,,,,,,,,,
Brucella spp,-,-,-,-,1,1,1,1,,,,,,,,,,
Vibrio other,-,-,-,-,-,-,1,1,,,,,,,,,,
Other,-,-,-,-,-,-,-,-,,,,,,,,,,
Subtotal,27,17,2,5,14,55,104,219,,,,,,,,,,
Chemical and toxin,,,,,,,,,,,,,,,,,,
Scombroid toxin/histamine,1,-,-,-,-,1,10,12,,,,,,,,,,
Ciguatoxin,-,-,-,-,-,-,11,11,,,,,,,,,,
Mycotoxins,-,-,-,-,-,-,1,1,,,,,,,,,,
Other,-,-,-,-,-,-,1,2,,,,,,,,,,
Subtotal,1,-,-,-,-,1,23,26,,,,,,,,,,
Parasitic,,,,,,,,,,,,,,,,,,
Cryptosporidium,-,-,-,-,-,-,2,2,,,,,,,,,,
Trichinella,2,-,-,-,-,2,2,2,,,,,,,,,,
Giardia,-,-,-,-,-,-,-,-,,,,,,,,,,
Cyclospora,-,-,-,-,-,-,-,1,,,,,,,,,,
Subtotal,2,-,-,-,-,2,4,5,,,,,,,,,,
Viral,,,,,,,,,,,,,,,,,,
Norovirus,2,1,-,2,4,7,84,145,,,,,,,,,,
Hepatitis A virus,-,-,-,-,-,-,3,3,,,,,,,,,,
Sapovirus,-,-,-,-,-,-,-,1,,,,,,,,,,
Subtotal,2,1,-,2,4,7,87,149,,,,,,,,,,
Single etiology,32,18,2,7,18,65,218,399,,,,,,,,,,
Multiple etiologies con_rmed,1,-,-,-,-,1,2,4,,,,,,,,,,
Total,33,18,2,7,18,66,220,403,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Appendix Table 4: Foodborne disease outbreaks by suspected etiology* and contributing factors__-__Foodborne Disease Outbreak Surveillance System, United States, 2016.",,,,,,,,,,,,,,,,,,
,Contamination Factors,,,,,,,,,,,,,,,,,
Etiology,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,>= 1 factor reported,Outbreaks with reported contributing factors,Total outbreaks
Bacterial,,,,,,,,,,,,,,,,,,
Salmonella,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,3
Clostridium perfringens,1,-,-,-,-,1,-,-,-,-,-,1,-,1,1,3,7,12
"Escherichia coli, Shiga toxin-producing",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,2
Campylobacter,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,3,3,7
Bacillus cereus,1,-,-,-,-,1,-,-,2,-,-,-,-,1,1,6,9,13
Staphylococcus aureus enterotoxin,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,3,6,10
Vibrio parahaemolyticus,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,3,3
Vibrio cholerae,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,1
Shigella,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1
Clostridium botulinum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
Listeria monocytogenes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Escherichia coli, Enteroinvasive",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Staphylococcus spp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Escherichia coli, Enteroaggregative",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brucella spp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vibrio other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,3,7,13
Subtotal,2,-,-,-,-,3,4,1,7,1,-,1,1,3,4,23,40,67
Chemical and toxin,,,,,,,,,,,,,,,,,,
Scombroid toxin/histamine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ciguatoxin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mycotoxins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Subtotal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Parasitic,,,,,,,,,,,,,,,,,,
Cryptosporidium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trichinella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Giardia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Cyclospora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Subtotal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Viral,,,,,,,,,,,,,,,,,,
Norovirus,-,-,-,-,-,-,-,-,8,35,30,18,7,8,20,71,72,177
Hepatitis A virus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sapovirus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Subtotal,-,-,-,-,-,-,-,-,8,35,30,18,7,8,20,71,72,177
Single etiology,2,-,-,-,-,3,4,1,15,36,30,19,8,11,24,94,112,246
Multiple etiologies suspected,1,-,-,-,-,1,-,-,-,-,-,-,-,-,2,4,5,13
Unknown etiology__,2,-,-,-,-,1,2,1,10,9,5,2,3,7,7,29,42,177
Total,5,-,-,-,-,5,6,2,25,45,35,21,11,18,33,127,159,436
,,,,,,,,,,,,,,,,,,
"Appendix Table 5: Foodborne disease outbreaks by suspected etiology* and contributing factors__-__Foodborne Disease Outbreak Surveillance System, United States, 2016.",,,,,,,,,,,,,,,,,,
,Proliferation/Amplification Factors,,,,,,,,,,,,,,,,,
Etiology,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,>= 1 Factor Reported,Outbreaks with reported contributing factors,Total outbreaks,,,
Bacterial,,,,,,,,,,,,,,,,,,
Salmonella,1,-,-,-,-,-,-,-,-,-,-,-,1,1,3,,,
Clostridium perfringens,3,4,1,1,2,1,3,5,-,-,-,-,7,7,12,,,
"Escherichia coli, Shiga toxin-producing",-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,,,
Campylobacter,1,-,-,-,1,-,1,-,-,-,-,-,2,3,7,,,
Bacillus cereus,5,5,1,-,4,-,2,4,-,-,-,1,9,9,13,,,
Staphylococcus aureus enterotoxin,2,5,-,1,3,-,3,1,-,1,-,1,6,6,10,,,
Vibrio parahaemolyticus,-,-,-,-,-,-,-,-,-,-,-,2,2,3,3,,,
Vibrio cholerae,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,,,
Shigella,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,,,
Clostridium botulinum,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,,,
Listeria monocytogenes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
"Escherichia coli, Enteroinvasive",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,,
Staphylococcus spp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
"Escherichia coli, Enteroaggregative",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Brucella spp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Vibrio other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Other,2,4,-,3,1,-,2,4,-,-,1,-,7,7,13,,,
Subtotal,14,18,2,5,11,1,11,14,-,1,2,5,36,40,67,,,
Chemical and toxin,,,,,,,,,,,,,,,,,,
Scombroid toxin/histamine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Ciguatoxin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mycotoxins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,,
Subtotal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,,
Parasitic,,,,,,,,,,,,,,,,,,
Cryptosporidium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Trichinella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Giardia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,,
Cyclospora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Subtotal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,,
Viral,,,,,,,,,,,,,,,,,,
Norovirus,-,-,-,-,1,-,-,-,-,-,-,-,1,72,177,,,
Hepatitis A virus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Sapovirus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Subtotal,-,-,-,-,1,-,-,-,-,-,-,-,1,72,177,,,
Single etiology,14,18,2,5,12,1,11,14,-,1,2,5,37,112,246,,,
Multiple etiologies suspected,3,1,-,-,-,-,2,-,-,-,-,-,4,5,13,,,
Unknown etiology__,8,11,5,7,12,-,9,3,-,-,-,3,31,42,177,,,
Total,25,30,7,12,24,1,22,17,-,1,2,8,72,159,436,,,
,,,,,,,,,,,,,,,,,,
"Appendix Table 6: Foodborne disease outbreaks by suspected etiology* and contributing factors__-__Foodborne Disease Outbreak Surveillance System, United States, 2016.",,,,,,,,,,,,,,,,,,
,Survival Factors,,,,,,,,,,,,,,,,,
Etiology,S1,S2,S3,S4,S5,>= 1 Factor Reported,Outbreaks with reported contributing factors,Total Outbreaks,,,,,,,,,,
Bacterial,,,,,,,,,,,,,,,,,,
Salmonella,-,-,-,-,1,1,1,3,,,,,,,,,,
Clostridium perfringens,2,4,-,-,-,5,7,12,,,,,,,,,,
"Escherichia coli, Shiga toxin-producing",-,-,-,-,-,-,1,2,,,,,,,,,,
Campylobacter,1,-,-,-,-,1,3,7,,,,,,,,,,
Bacillus cereus,3,1,-,-,4,6,9,13,,,,,,,,,,
Staphylococcus aureus enterotoxin,-,2,-,-,1,3,6,10,,,,,,,,,,
Vibrio parahaemolyticus,-,-,-,-,-,-,3,3,,,,,,,,,,
Vibrio cholerae,-,-,-,1,-,1,1,1,,,,,,,,,,
Shigella,-,-,-,-,-,-,1,1,,,,,,,,,,
Clostridium botulinum,-,-,-,-,1,1,1,1,,,,,,,,,,
Listeria monocytogenes,-,-,-,-,-,-,-,-,,,,,,,,,,
"Escherichia coli, Enteroinvasive",-,-,-,-,-,-,-,1,,,,,,,,,,
Staphylococcus spp,-,-,-,-,-,-,-,-,,,,,,,,,,
"Escherichia coli, Enteroaggregative",-,-,-,-,-,-,-,-,,,,,,,,,,
Brucella spp,-,-,-,-,-,-,-,-,,,,,,,,,,
Vibrio other,-,-,-,-,-,-,-,-,,,,,,,,,,
Other,1,2,-,2,2,5,7,13,,,,,,,,,,
Subtotal,7,9,-,3,9,23,40,67,,,,,,,,,,
Chemical and toxin,,,,,,,,,,,,,,,,,,
Scombroid toxin/histamine,-,-,-,-,-,-,-,-,,,,,,,,,,
Ciguatoxin,-,-,-,-,-,-,-,-,,,,,,,,,,
Mycotoxins,-,-,-,-,-,-,-,-,,,,,,,,,,
Other,-,-,-,-,-,-,-,1,,,,,,,,,,
Subtotal,-,-,-,-,-,-,-,1,,,,,,,,,,
Parasitic,,,,,,,,,,,,,,,,,,
Cryptosporidium,-,-,-,-,-,-,-,-,,,,,,,,,,
Trichinella,-,-,-,-,-,-,-,-,,,,,,,,,,
Giardia,-,-,-,-,-,-,-,1,,,,,,,,,,
Cyclospora,-,-,-,-,-,-,-,-,,,,,,,,,,
Subtotal,-,-,-,-,-,-,-,1,,,,,,,,,,
Viral,,,,,,,,,,,,,,,,,,
Norovirus,1,-,-,2,2,5,72,177,,,,,,,,,,
Hepatitis A virus,-,-,-,-,-,-,-,-,,,,,,,,,,
Sapovirus,-,-,-,-,-,-,-,-,,,,,,,,,,
Subtotal,1,-,-,2,2,5,72,177,,,,,,,,,,
Single etiology,8,9,-,5,11,28,112,246,,,,,,,,,,
Multiple etiologies suspected,2,1,-,-,-,2,5,13,,,,,,,,,,
Unknown etiology,5,5,-,1,2,13,42,177,,,,,,,,,,
Total,15,15,-,6,13,43,159,436,,,,,,,,,,
